_,Ward,Name,Address,Zip,lat,lon
110,3-6,St. Luke Lutheran Church,1807 Field Ave,55116,44.90266,-93.17560488732394
111,3-7,Macalester/Plymouth United Church,1658 Lincoln Ave,55105,44.938848,-93.170117
112,3-8,Gloria Dei Lutheran Church,700 Snelling Ave S,55116,44.920518,-93.166909
113,3-9,Gloria Dei Lutheran Church,700 Snelling Ave S,55116,44.920518,-93.166909
114,3-10,Highland Park Senior High School,1015 Snelling Ave S,55116,44.910863,-93.165228
115,3-11,Jie Ming Academy,1845 Sheridan Ave W,55116,44.902164,-93.178955
116,3-12,Awaken Community Church,506 View St,55102,44.92608469230769,-93.13297107692307
117,3-13,Edgcumbe Recreation Center,320 Griggs St S,55105,44.932096306122446,-93.15159520408163
118,4-1,Luther Sem. Olson Campus Cntr,1490 Fulham St,55108,44.9854546,-93.1968009
119,4-2,Langford Recreation Center,30 Langford Park,55108,44.9762957,-93.195179215625
120,4-3,Seal High Rise,825 Seal St,55114,44.9657301,-93.1966717
121,4-4,Merriam Park Recreation Center,2000 St Anthony Ave,55104,44.953134,-93.185527
122,4-5,McNeely Hall- St. Thomas University,2060 Summit Ave,55105,44.941759,-93.18632500000001
123,4-6,Hidden River Middle School,1700 Summit,55105,44.94072920000001,-93.17216478751592
124,4-7,LEAP High School,631 Albert St N,55104,44.960651,-93.159645
125,4-8,Hancock School Recreation Center,1610 Hubbard Ave,55104,44.964764,-93.167813
126,4-9,Bethlehem Lutheran Church in the Midway,436 Roy St N,55104,44.954642,-93.168163
127,4-10,Como Park-Streetcar Station,1224 Lexington Pkwy N,55103,44.97610689583333,-93.14642814583334
128,4-11,Hamline High Rise,777 Hamline Ave N,55104,44.964633,-93.157568
129,4-12,Groveland Recreation Center,2021 St Clair Ave,55105,44.934402793103445,-93.18576917241379
130,4-13,Holy Childhood Church,1435 Midway Pkwy,55108,44.9810368634848,-93.15856113620218
131,5-1,North Dale Recreation Center,1414 St Albans St N,55117,44.9837392,-93.12814516634708
132,5-2,North Dale Recreation Center,1414 St Albans St N,55117,44.9837392,-93.12814516634708
133,5-3,Front Ave High Rise,727 Front Ave,55103,44.970661449999994,-93.13073678036108
134,5-4,Washington Technology School,1495 Rice St,55117,44.9870921,-93.1110707
135,5-5,McDonough Community Center,1544 Timberlake Rd,55117,44.988043125,-93.0931990625
136,5-6,Saint Bernard-Parish Hall,147 Geranium Ave W,55117,44.975752,-93.106223
137,5-7,Mosaic Christian Community,540 Wheelock Pkwy,55130,44.986606,-93.078384
138,5-8,Arlington Hills Community Center,E 1200 Payne Ave,55130,44.973302,-93.08241
139,5-9,St. Patrick’s of St. Paul,1095 Desoto Street,55130,44.9743363,-93.081261
140,5-10,Holy Childhood Church,1435 Midway Pkwy,55108,44.9810368634848,-93.15856113620218
141,6-1,Hmong Language & Culture Mid. Sch. at Parkway,1363 Bush Ave,55106,44.9654459,-93.04302520780793
142,6-2,First Covenant Church,1280 Arcade St,55106,44.979949473684215,-93.06586773684211
143,6-3,Our Redeemer Lutheran Church,1390 Larpenteur Ave,55109,44.99166,-93.042075
144,6-4,Divinity Lutheran Church,1655 Cottage Ave E,55106,44.983072,-93.030628
145,6-5,Duluth-Case Recreation Center,1020 Duluth St,55106,44.972475,-93.05063128571427
146,6-6,Edgerton High Rise,1000 Edgerton St,55130,44.97111,-93.0748752
147,6-7,Hope Community Academy,720 Payne Ave,55130,44.9627675,-93.0734389
148,6-8,Boys and Girls Club,1620 Ames Ave,55106,44.973837,-93.031907
149,6-9,Hazel Park Academy,1140 White Bear Ave N,55106,44.976155,-93.02379505
150,6-10,Iowa High Rise,1743 Iowa Ave E,55106,44.98959,-93.026705
151,6-11,Hayden Heights Recreation Center,1965 Hoyt Ave E,55119,44.98843263636363,-93.01704972727272
152,7-1,Dayton’s Bluff Recreation Center,800 Conway St,55106,44.955742,-93.065686
153,7-2,Hazel Park Recreation Center,945 Hazel St N,55119,44.969949,-93.020884
154,7-3,Our Saviour’s Lutheran Church,674 Johnson Pkwy,55106,44.96182068157162,-93.04553336066505
155,7-4,Mounds Park United Methodist Church,1049 Euclid St,55106,44.955217,-93.056197
156,7-5,Mounds Theater,1029 Hudson Rd,55106,44.95250525,-93.056965475
157,7-6,East Side Community Center,1526 6th St E,55106,44.959821,-93.035777
158,7-7,Wilson High Rise,1300 Wilson Ave,55106,44.954007,-93.045755
159,7-8,Progressive Baptist Church,1505 Burns Ave,55106,44.94885526027397,-93.03561231506849
160,7-9,Hazel Park Congregational Church,1831 Minnehaha Ave E,55119,44.9631614137931,-93.0231725862069
161,7-10,Eastern Heights Elementary School,2001 Margaret St,55119,44.961786,-93.016148
162,7-11,Conway Recreation Center,2090 Conway Ave,55119,44.9558881,-92.9946598
163,7-12,Battle Creek Recreation Center,75 Winthrop St S,55119,44.938508,-93.012524
164,7-13,Highwood Hills Elementary School,2188 Londin Ln,55119,44.928983349999996,-93.00798515266365
